node	a_force.x	a_force.y	g_force.x	g_force.y	r_force.x	r_force.y	global_speed	move_node.x	move_node.y
0	105425.085938	-71077.828125	13054.353516	-3279.079834	0.000000	0.000000	632100.375000	-4239.254395	-3066.043457
1	13226.321289	68744.773438	9268.712891	8953.685547	0.000000	0.000000	632100.375000	-4292.895508	-1796.808228
2	26172.009766	-8952.213867	12909.635742	1133.227661	0.000000	0.000000	632100.375000	-5281.330566	-1421.220459
3	62774.484375	10113.711914	12851.719727	3358.126709	0.000000	0.000000	632100.375000	-3431.883301	-537.431641
4	-57736.179688	82282.250000	1256.854126	11043.360352	0.000000	0.000000	632100.375000	-2898.028809	-494.511871
5	-12327.614258	-77114.125000	5444.006836	-6442.966797	0.000000	0.000000	632100.375000	-2986.786133	-2347.400879
6	-4767.999023	36497.007812	8464.226562	7908.881348	0.000000	0.000000	632100.375000	-3993.644775	-982.122681
7	-101594.429688	-112490.609375	-2635.855713	-10448.024414	0.000000	0.000000	632100.375000	-6821.905273	-6891.858887
8	-7460.378418	39051.687500	5190.186035	8446.226562	0.000000	0.000000	632100.375000	-4771.700684	-1460.175903
9	23358.992188	99266.843750	8149.117188	10359.488281	0.000000	0.000000	632100.375000	-3989.268799	-840.423157
10	12478.431641	74860.390625	8190.365723	10157.959961	0.000000	0.000000	632100.375000	-7182.799316	-4203.580078
11	-110396.281250	71704.351562	-4307.854492	8944.009766	0.000000	0.000000	632100.375000	-4828.406738	-902.515808
12	75829.320312	35117.785156	11566.410156	4096.869629	0.000000	0.000000	632100.375000	-2408.691650	-1480.010010
13	1522.705933	-110739.296875	7364.873047	-8288.795898	0.000000	0.000000	632100.375000	-6146.758301	-3979.514893
14	-98439.882812	8034.235352	-4103.869629	4669.065430	0.000000	0.000000	632100.375000	-4016.427490	-592.900146
15	-62619.589844	113199.281250	941.067688	11928.820312	0.000000	0.000000	632100.375000	-5013.142090	-1987.350830
16	41517.070312	51389.343750	11204.297852	6437.600098	0.000000	0.000000	632100.375000	-4734.707031	-1786.088135
17	73157.687500	-43092.000000	13000.030273	-1783.720337	0.000000	0.000000	632100.375000	-3726.184570	-2053.013916
18	-42889.796875	-39960.289062	2759.550293	-3867.909424	0.000000	0.000000	632100.375000	-15430.063477	-4818.397949
19	70215.296875	15315.624023	12093.997070	2573.537109	0.000000	0.000000	632100.375000	-4808.803711	-1883.859131
20	-145168.562500	-36115.125000	-7722.538086	-420.441406	0.000000	0.000000	632100.375000	-15471.473633	-3146.826660
21	30851.539062	121116.343750	8343.476562	10702.343750	0.000000	0.000000	632100.375000	-5317.994141	-2318.483887
22	100063.601562	54277.101562	12501.931641	5096.829102	0.000000	0.000000	632100.375000	-2918.944580	-658.225952
23	53944.164062	-12441.649414	11647.027344	514.065979	0.000000	0.000000	632100.375000	-3460.494873	-897.217529
24	-21339.505859	-6918.749023	6356.896484	-64.973946	0.000000	0.000000	632100.375000	-5994.735352	-2203.378906
